Yasuhiro Nightow
Tsutomu Nihei
Tomoko Ninomiya
Keiko Nishi
Yoshiyuki Nishi
Hiroyuki Nishimori
Sou Nishimura
Yoshinobu Nishizaki
Youka Nitta
Makoto Niwano
Toshio Nobe
Shinbo Nomura
Eiji Nonaka
Charlie Nozawa
Miho Obana
Takeshi Obata
Eiichiro Oda
Hideji Oda
Etsushi Ogawa
Akane Ogura
Saori Oguri
Tsuyoshi Ōhashi
Tsugumi Ohba
Oh! great
Mineko Ohkami
Nanase Ohkawa
Shinobu Ohtaka
Kendi Oiwa
Hiroi Oji
Megumu Okada
Okama
Lynn Okamoto
Reiko Okano
Takeshi Okano
Kyoko Okazaki
Takashi Okazaki
Hiroya Oku
Atsushi Ōkubo
Hitoshi Okuda
One
Hiromu Ono
Natsume Ono
Toshihiro Ono
Mamoru Oshii
Towa Oshima
Yasuichi Oshima
Yumiko Ōshima
Katsuhiro Otomo
Minami Ozaki
Mari Ozawa
Akira Oze
Marimo Ragawa
Makoto Raiku
Ryō Ramiya
Koshi Rikdo
Robico
Noboru Rokuda
Yoshiyuki Sadamoto
Fumi Saimon
Chiho Saito
Takao Saito
Rin Saitō
Mayu Sakai
Yasuko Sakata
Ken'ichi Sakemi
Harold Sakuishi
Ashika Sakura
Momoko Sakura
Koharu Sakuraba
Kanoko Sakurakoji
Minene Sakurano
Erica Sakurazawa
Hiroaki Samura
Riku Sanjo
Tetsuya Saruwatari
Hiroshi Sasagawa
Ryo Sasaki
Ayato Sasakura
Daisuke Satō
Shio Satō
Shōji Satō
Shūhō Satō
Machiko Satonaka
Yoshio Sawai
Shizuru Seino
Kōji Seo
Takako Shigematsu
Shuichi Shigeno
Hiroshi Shiibashi
Ayumi Shiina
Takashi Shiina
Satoshi Shiki
Mitsutoshi Shimabukuro
Kazuhiko Shimamoto
Reiko Shimizu
Yuki Shimizu
Takako Shimura
Rize Shinba
Mayu Shinjo
Chie Shinohara
Tōru Shinohara
Mizuo Shinonome
Hiromu Shinozuka
Kaoru Shintani
Motoei Shinzawa
Etorouji Shiono
Yuji Shiozaki
Kaiu Shirai
Sanpei Shirato
Kotobuki Shiriagari
Masamune Shirow
Yōko Shōji
Kouyu Shurei
Smelly
Masahito Soda
Toshinori Sogabe
Kenichi Sonoda
Mitsuyoshi Sonoda
Hideaki Sorachi
Fuyumi Soryo
Keiko Suenobu
Yuki Suetsugu
Mitsuru Sugaya
Ken Sugimori
Yukiru Sugisaki
Hinako Sugiura
Shigeru Sugiura
Shiho Sugiura
Natsuki Sumeragi
Yukiko Sumiyoshi
Hiro Suzuhira
Jirō Suzuki
Julietta Suzuki
Nakaba Suzuki
Atsushi Suzumi
Karin Suzuragi
Yūki Tabata
Higuchi Tachibana
Yutaka Tachibana
Haruko Tachiiri
Megumi Tachikawa
Kaoru Tada
Gengoroh Tagame
Suihō Tagawa
Akemi Takada
Rie Takada
Yuzo Takada
Nobuyuki Takagi
Hiroshi Takahashi
Kazuki Takahashi
Koji Takahashi
Rumiko Takahashi
Shin Takahashi
Tsutomu Takahashi
Yoichi Takahashi
Yoshihiro Takahashi
Yōsuke Takahashi
Ryo Takamisaki
Hinako Takanaga
Mitsuba Takanashi
Shizue Takanashi
Ichigo Takano
Hiroshi Takashige
Kazusa Takashima
Misako Takashima
Misako Rocks!
Rica Takashima
Natsuki Takaya
Yoshiki Takaya
Hiroyuki Takei
Kentaro Takekuma
Keiko Takemiya
Izumi Takemoto
Mick Takeuchi
Naoko Takeuchi
Takashi Takeuchi
Tony Takezaki
Namuchi Takumi
Hiroyuki Tamakoshi
Ryūhei Tamura
Shigeru Tamura
Yumi Tamura
Yellow Tanabe
Kunihiko Tanaka
Masashi Tanaka
Arina Tanemura
Tomoko Taniguchi
Jiro Taniguchi
Jirō Taniguchi
Makoto Tateno
Retsu Tateo
Yoshihiro Tatsumi
Katsuya Terada
Yuji Terajima
Buichi Terasawa
Daisuke Terasawa
Reiko Terashima
Yū Terashima
Takashi Teshirogi
Osamu Tezuka
Keiko Tobe
Yana Toboso
Izumi Tōdō
Yoshihiro Togashi
Hari Tokeino
Kōichi Tokita
Masaya Tokuhiro
Hitoshi Tomizawa
Tono
